ds,yhat
2024-11-19 22:20:00,4.252902
2024-11-19 22:25:00,4.111677
2024-11-19 22:30:00,3.9604056
2024-11-19 22:35:00,3.8214624
2024-11-19 22:40:00,3.589352
2024-11-19 22:45:00,3.4738479
2024-11-19 22:50:00,3.471404
2024-11-19 22:55:00,3.3550649
2024-11-19 23:00:00,3.473358
2024-11-19 23:05:00,3.2574449
2024-11-19 23:10:00,3.2105944
2024-11-19 23:15:00,3.3509078
2024-11-19 23:20:00,3.070262
2024-11-19 23:25:00,3.0488706
2024-11-19 23:30:00,2.8865905
2024-11-19 23:35:00,2.6478126
2024-11-19 23:40:00,2.789845
2024-11-19 23:45:00,2.735174
2024-11-19 23:50:00,2.652044
2024-11-19 23:55:00,2.5228374
2024-11-20 00:00:00,2.6108243
2024-11-20 00:05:00,2.524164
2024-11-20 00:10:00,2.4982724
2024-11-20 00:15:00,2.7391405
2024-11-20 00:20:00,2.5932484
2024-11-20 00:25:00,2.4917247
2024-11-20 00:30:00,2.4690356
2024-11-20 00:35:00,2.3591833
2024-11-20 00:40:00,2.3187494
2024-11-20 00:45:00,2.3179197
2024-11-20 00:50:00,2.2154796
2024-11-20 00:55:00,2.093046
2024-11-20 01:00:00,2.1690996
2024-11-20 01:05:00,2.189676
2024-11-20 01:10:00,2.1418579
2024-11-20 01:15:00,2.153937
2024-11-20 01:20:00,2.0983028
2024-11-20 01:25:00,2.0753715
2024-11-20 01:30:00,2.0402002
2024-11-20 01:35:00,1.9357631
2024-11-20 01:40:00,1.959878
2024-11-20 01:45:00,2.0062885
2024-11-20 01:50:00,1.9227426
2024-11-20 01:55:00,1.9171548
2024-11-20 02:00:00,2.0281103
2024-11-20 02:05:00,1.9551854
